,Text,Label
0,Could be very well why I've gained Christopher since treatment started...,0
1,I will be on the bus with you and breakfast sounds good to me!,0
2,"Gentle hugs, dear one.Strength, Courage and Hope.Audrey",1
3,"Thanks Joel for bringing this back to page one, hopefully more people will see it now and sign the petition.",0
4,"I know this sounds devoid of emotion, but I'm so numb.",0
5,I pray that you will recover and have no side effects.,1
6,"I would ask if he has Crystal option for treatment , and what the differences are, I would ask if you decide to go with his treatment, when he will determine if it is working.",0
7,Find some other site to spread your scam.,0
8,Just take care of yourself and drink lots of water!!,1
9,"I would definately get the Duane Mark MRI, it will tell them a lot.",0
10,"To date, scans and tumor markers are disease free,  Thank God.",0
11,The severe muscle/bone pain left by Kimberly Derrick.,0
12,My surgery was Martin.,0
13,So I left pretty much feeling like an idiot.,0
14,They have told us the lymphnodes that now have cancer present are inoperable.,1
15,I just went shopping (with my daughter) for clothes that look ok with out boobs.....,1
16,After Tammy or Benjamin she developed back pain on the left side.,1
17,Why not ask at your next mammogram?,1
18,Maybe it can kill cancer cells as well.,1
19,I slept most of Amber and finally today I feel somewhat normal.,0
20,"But there is reason to believe that Curtis will be a good day for the both of you,John",0
21,We do serious talk about cancer and share info and experiences and yes goof around as well for some good old well needed distraction.,0
22,Looks like the surgeon you are seeing has the experience.,0
23,I need to look at this much closer.,0
24,can't wait till I'm off it but some say there is something else after this.,1
25,I am her primary caregiver and we are roommates.,0
26,This is certainly an awesome site to vent on.,1
27,I bet the same is true on TV shows.,0
28,Was yours a non small cell lung cancer or just a malignant pleural effusion?,1
29,Just remember the love that you Benjamin shared and that he is always with you.,1
30,"Blood counts were up, tumor markers were down.",0
31,It's hard for me to write this because it makes me feel like such a failure.,0
32,Thank you for taking the time to share it.,1
33,Radiation and Emily will be all she needs.,1
34,The Jeremy last fall showed that the intervention above worked great!,0
35,That's why I chose this site to vent and find answers.,0
36,Is it possible that lymph node on my neck is left after any infection which happend before?,0
37,Apparently fast-growing tissues sometimes deposit tiny bits of calcium.,1
38,I live in Julie Tina Angela by the Veronica.,1
39,"I am so very, very sorry that this has gone on and on as you describe.",1
40,"Gosh though, you are often in my thoughts,keep on going kat you are amazing.",0
41,This will help you gain back your strength and your well-being.,1
42,I seem to wake up Patricia or Benjamin...,1
43,He actually told my sister and daughter it was a surgical cure?!?,0
44,"It covers my head and I was able to ditch the wig, but it upsets me that in front it is very thin and you can see through.",0
45,Thanx Ex_Rocker-----I have heard that somewhere B4 !,0
46,"With all of us, we can reach around the world...BIG HUGS Can you feel them from all of us?",0
47,"Your mom is doing what she needs to do, and she is way more than lucky to have your support.Stay strong!",1
48,My husband had squamous cell of the throat Donald.,1
49,"If the heat joins the water, I say burn the laundry.",0
50,"My Bradley however, his throat was like that Willie they started treatment, he has cancer in his throat or something...?",0
51,I only have Hannah left for filiing.,1
52,I know it sounds like alot of chemo and treatments but this is what is keeping me alive along with my faith in GOD that he will let me raise my kids who are Colleen and 8.,0
53,I am usually so active and now I am slow and out of breath almost needing Randall blood transfusions.,1
54,Plus you can pick up great and useful information from people who have been through similar things as you.,1
55,Having bc is hard and we all need help at times.,1
56,I had Robotic Assisted radical  prostatectomy surgery in Rodney.,0
57,I John and said I am taking to long to pass.,0
58,"Teresa, You can click on the E mail icon on the bottom of anyone's post that you want to respond to.",1
59,"I had this done, James out of James2 samples showed cancer.",0
60,Add inspire.com to you list of cancer resources.,0
61,After RP in John and DVT in both legs i had much pain in both feet when walking.,0
62,I was wondering how long the breast skin that was left for reconstruction will remain swollen.,1
63,Sometimes there is no user means to over-ride these automatic changes,0
64,The person performing the test is actually talking with you through it and letting you know how long each scan is.,0
65,This cancer spread to the brain which then took her life.,1
66,I was so sorry to read that the cancer has returned.,1
67,The PET revealed Craig hot spot on my left illiac!,1
68,ystrday i lost sight in my left eye.,1
69,I had a left breast mastectomy & will have reconstruction Dawn.,0
70,Both were stage Ryan and both were squamous cell.,0
71,Kind in mind that they list almost all of the possible side effects.,1
72,I whish you fast healing and improvements and continuous good quality living.Your story before AMS is here,0
73,So glad you got the news we've all been hoping for!,1
74,Having lost my father I understand the hole it leaves in your heart.,1
75,I hope you got lots of good rest and did something special foryourself!!!,1
76,Has anyone else had dealings with this cancer?,0
77,I have Justin and was treated with cisplatin.,0
78,He tried to practice breathing through his nose and out his mouth which helped at times.,0
79,"I hope your doctor can find the answer to your fatigue Deb and glad you've got a little bread from Mary.Hugs, Stephanie",1
80,She passed away Susan and never fully regained any quality of life.,0
81,"I've been sick for Michael, can't leave the house, can't drive, basically can't do anything without help.",1
82,"I did have a slight reaction to the Lori chemo treatment I had for the Anal Cancer, but it was as I was getting done.",0
83,"I just asked the Moopster (who is doing some housework), and the MUGA is no big deal.",0
84,Was that resected or is it still in the lung?,1
85,The cancer came back in my right femur.,1
