,Text,Label
0,I just discovered this site because I started working for April.,1
1,You know I've always loved your pic swimming w/dolphins on vacation!,1
2,But please try to relax until more news comes your way.Good luck and I look forward to your update.,0
3,When salaried I regularly worked a Joseph.,0
4,Okay Kristen I'm in I'll sing a tune with you unite in your journey back to healthier days!,1
5,I finally found a product that really worked for me.,0
6,"I've had Corey rounds, then was on Gabriel alone.",1
7,"That's certainly a personal decision, but depending on her age and overall fitness, it's not something she should necessarily be afraid of.",0
8,Please apologize for us a head of time.,1
9,Guess it is left up to me to pray for inspiration.,0
10,My husband has lots of info printed out and I just read through it all.,0
11,"Hi , I just received information from a cancer hospital with diet advice for lung cancer, it is www.cancercenter.com , it is very informative, good luck and God bless.",0
12,Your doctors would probably tell you that this is not the time to try to lose weight.,0
13,"I'll try and post what he tells me, so perhaps it'll help someone else going through this mess.",0
14,Congrats on Donna with Julia!,0
15,It's such a good feeling to put those milestones behind you.,0
16,"According to Michelle ad transvag ultrasound,there is no ovaries.",0
17,I had a mastectomy in Michael with reconstrive surgery and lymph nodes removed.,0
18,Had bilateral mastectomy (positive nodes) with reconstruction end of Chris.,1
19,"I am John, and have alot to fight for.",1
20,They are treating me for the most likely cancer.,0
21,I found the lump on my left breast dr found another one.,0
22," thanks Joseph for your wonderful words of faith...I too came to the conclusion"" why not me?""",1
23,His wishes are important but he may no longer have the ability to decide for himself what is best.,0
24,Remember God didn't do this to your Father the Devil did.,1
25,"She said I told her in Kristen that some yellowish, creamy type of stuff was coming out of my nipple.",0
26,I feel fortunate (most times) to have him.,1
27,My husband and I try to walk Raven if we can.,0
28,"I didn't do anything for my chemo team...I guess I didn't think of it, now I feel bad!",1
29,"I was told I would lose my hair, but did not...I have Benjamin beautiful wigs still sitting in their boxes.",1
30,"I too had Michael and Christopher, and the side effects for me were absolutely terrible.",1
31,my oncologist and my surgeon both recommended gall bladder out before cancer.,0
32,"Jessica, I would like to know how your husband handles the taxotere.",1
33,"Just remember, you are the better person and I think we all look marvelous going through treatment.",0
34,"I would hate
to be your opponent.",0
35,"You will be glad you came here, this site is filled with compassionate, caring, supportive, and knowledgeable women, along with a few men.",1
36,And we all plan on fighting right along side you to follow you as you cross that finish line.,0
37,"Even though we have went thru a lot, by staying postive, we get a lot of blessing.",1
38,I'm tired of people and I'm tired of being alone.,1
39,I did pretty well on a low dosage during treatment.,1
40,A cancer diagnosis is very very scary for all of us.,0
41,They do wonderful range of motion and strengthing.,1
42,He is still working full time and handling his cancer much better than I.,1
43,"If you have the original at Tyler position with Benjamin smaller ones at Teresa, they will most likely not do a lumpectomy.",0
44,"Due to the fact my husband is incarcerated, I am offered very little information about his condition.",1
45,I am 46 and actually very healthy otherwise.,1
46,Though maybe not so for a nonfiction work that may need referring back to...,0
47,"Of course it's understandable that you're feeling nervous about starting chemo, but try to remember that, for most people, the actual chemo infusion itself is really uneventful.",0
48,"as hard as it is, try not to overthink this one.",0
49,With this philosophy I have beaten high blood pressure and the beginnings of diabetes.,1
50,Adding my prayers for her family and friends.Take Care... God Bless...Marcus,1
51,And you just look absolutely gorgeous my dear.,0
52,"I am so glad I found this board, you all have given me so much hope for both my sister and for myself.",0
53,We Survivors go through enough as it is.,1
54,Ryan youngest grandchildren are staying overnight with us while their parents go to a party.,0
55,"I am sure that some of the pink sisters that had chemo will reply to you.Be sure and tell your oncologist about this.Hugs, Leeza",0
56,She was diagnosed Robert and is going for a Brittany opinion in Susan.,1
